customer_key,first_name,last_name,email,active,create_date
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,"2006-02-14 22:04:36"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,"2006-02-14 22:04:36"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,"2006-02-14 22:04:36"
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,"2006-02-14 22:04:36"
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,"2006-02-14 22:04:36"
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,"2006-02-14 22:04:36"
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,"2006-02-14 22:04:36"
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,"2006-02-14 22:04:36"
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,"2006-02-14 22:04:36"
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,"2006-02-14 22:04:36"
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,"2006-02-14 22:04:36"
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,"2006-02-14 22:04:36"
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,"2006-02-14 22:04:36"
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,"2006-02-14 22:04:36"
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,"2006-02-14 22:04:36"
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,"2006-02-14 22:04:36"
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,"2006-02-14 22:04:36"
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,"2006-02-14 22:04:36"
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,"2006-02-14 22:04:36"
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,"2006-02-14 22:04:36"
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,"2006-02-14 22:04:36"
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1,"2006-02-14 22:04:36"
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,1,"2006-02-14 22:04:36"
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,1,"2006-02-14 22:04:36"
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,1,"2006-02-14 22:04:36"
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,1,"2006-02-14 22:04:36"
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1,"2006-02-14 22:04:36"
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,1,"2006-02-14 22:04:36"
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,1,"2006-02-14 22:04:36"
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1,"2006-02-14 22:04:36"
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1,"2006-02-14 22:04:36"
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1,"2006-02-14 22:04:36"
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,1,"2006-02-14 22:04:36"
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,1,"2006-02-14 22:04:36"
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,1,"2006-02-14 22:04:36"
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,1,"2006-02-14 22:04:36"
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,1,"2006-02-14 22:04:36"
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1,"2006-02-14 22:04:36"
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,1,"2006-02-14 22:04:36"
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,1,"2006-02-14 22:04:36"
55,DORIS,REED,DORIS.REED@sakilacustomer.org,1,"2006-02-14 22:04:36"
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1,"2006-02-14 22:04:36"
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,1,"2006-02-14 22:04:36"
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,1,"2006-02-14 22:04:36"
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,1,"2006-02-14 22:04:36"
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,1,"2006-02-14 22:04:36"
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,1,"2006-02-14 22:04:36"
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,1,"2006-02-14 22:04:36"
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,0,"2006-02-14 22:04:36"
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,1,"2006-02-14 22:04:36"
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,1,"2006-02-14 22:04:36"
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1,"2006-02-14 22:04:36"
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1,"2006-02-14 22:04:36"
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,1,"2006-02-14 22:04:36"
72,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
73,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1,"2006-02-14 22:04:36"
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1,"2006-02-14 22:04:36"
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,1,"2006-02-14 22:04:36"
76,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,1,"2006-02-14 22:04:36"
77,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,1,"2006-02-14 22:04:36"
78,LORI,WOOD,LORI.WOOD@sakilacustomer.org,1,"2006-02-14 22:04:36"
79,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,1,"2006-02-14 22:04:36"
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,1,"2006-02-14 22:04:36"
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
82,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1,"2006-02-14 22:04:36"
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,1,"2006-02-14 22:04:36"
84,SARA,PERRY,SARA.PERRY@sakilacustomer.org,1,"2006-02-14 22:04:36"
85,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,1,"2006-02-14 22:04:36"
86,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,1,"2006-02-14 22:04:36"
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1,"2006-02-14 22:04:36"
88,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,1,"2006-02-14 22:04:36"
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1,"2006-02-14 22:04:36"
90,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1,"2006-02-14 22:04:36"
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,1,"2006-02-14 22:04:36"
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,1,"2006-02-14 22:04:36"
93,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1,"2006-02-14 22:04:36"
94,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,1,"2006-02-14 22:04:36"
95,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,1,"2006-02-14 22:04:36"
96,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1,"2006-02-14 22:04:36"
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1,"2006-02-14 22:04:36"
98,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,1,"2006-02-14 22:04:36"
99,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,1,"2006-02-14 22:04:36"
100,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1,"2006-02-14 22:04:36"
